Phase,Fe,Ni,P,S,Pressure,T,log fO2
sulfide,58.10,5.30,0.00,36.60,0.000101325,1000,-14.8776
sulfide,38.10,23.10,0.00,38.80,0.000101325,1000,-14.8776
sulfide,60.10,6.04,0.01,33.85,1.3,925,-11.3327
metal,82.02,17.89,0.00,0.09,1.3,925,-11.3327
sulfide,62.17,9.46,0.05,28.32,1.3,925,-11.3327
metal,89.53,7.09,0.12,3.26,1.3,925,-11.3327
sulfide,71.45,12.09,0.20,16.26,1.3,940,-11.0878
metal,91.30,8.51,0.14,0.05,1.3,940,-11.0878
sulfide,76.08,14.76,0.30,8.86,1,990,-10.5308
metal,86.50,13.00,0.09,0.41,1,990,-10.5308
metal,89.60,9.50,0.90,0.00,0.000101325,1050,-14.0574
metal,82.40,16.83,0.77,0.00,0.000101325,1050,-14.0574
metal,89.40,9.79,0.81,0.00,0.000101325,1100,-13.2981
metal,84.70,14.68,0.62,0.00,0.000101325,1150,-12.5934
metal,84.60,14.89,0.51,0.00,0.000101325,1200,-11.9375
p-rich,76.30,14.60,7.40,1.70,0.000101325,1050,-14.0574
p-rich,72.70,18.40,7.00,1.90,0.000101325,1050,-14.0574
p-rich,77.90,11.40,5.90,4.80,0.000101325,1100,-13.2981
p-rich,76.20,13.90,5.00,4.90,0.000101325,1150,-12.5934
p-rich,73.30,14.20,3.00,9.50,0.000101325,1200,-11.9375
s-rich,62.60,7.90,0.50,29.00,0.000101325,1050,-14.0574
s-rich,61.60,8.09,0.31,30.00,0.000101325,1050,-14.0574
s-rich,63.90,6.20,0.30,29.60,0.000101325,1100,-13.2981
s-rich,61.60,8.68,0.32,29.40,0.000101325,1150,-12.5934
s-rich,64.30,10.20,0.50,25.00,0.000101325,1200,-11.9375
